name,category,source,type,quantity,unit,reorder_level,cost_per_unit
Rice (Dinorado),Kitchen Supplies,Wet Market,other,0,kg,5,
Beef Sukiyaki,Kitchen Supplies,Wet Market,other,0,kg,2,
Minced Pork,Kitchen Supplies,Wet Market,other,0,kg,2,
Chicken Breast or Thigh,Kitchen Supplies,Wet Market,other,0,kg,3,
Tendon Shrimp,Kitchen Supplies,Wet Market,other,0,kg,1,
Pork Liempo,Kitchen Supplies,Wet Market,other,0,kg,2,
Hotatoes Fries,Kitchen Supplies,Wet Market,other,0,pack,3,
Ham (Chicken),Kitchen Supplies,Wet Market,other,0,kg,2,
Bacon Strips,Kitchen Supplies,Wet Market,other,0,pack,3,
Pop Corn Chicken,Kitchen Supplies,Wet Market,other,0,kg,2,
Tailed On Panko Shrimp,Kitchen Supplies,Wet Market,other,0,kg,1,
Fried Chicken,Kitchen Supplies,Wet Market,other,0,kg,2,
Fish Tofu (Kamaboko),Kitchen Supplies,Wet Market,other,0,pack,3,
Mega Sardines Red,Kitchen Supplies,Wet Market,other,0,can,3,
Green Eggplant,Kitchen Supplies,Wet Market,other,0,kg,1,
Eggs,Kitchen Supplies,Wet Market,other,0,piece,24,
Cabbage,Kitchen Supplies,Wet Market,other,0,kg,2,
Lettuce,Kitchen Supplies,Wet Market,other,0,kg,1,
Petchay,Kitchen Supplies,Wet Market,other,0,kg,1,
Onion Leek / Chives,Kitchen Supplies,Wet Market,other,0,kg,1,
White Onion,Kitchen Supplies,Wet Market,other,0,kg,2,
Red Onion,Kitchen Supplies,Wet Market,other,0,kg,2,
Carrots,Kitchen Supplies,Wet Market,other,0,kg,1,
Cucumber,Kitchen Supplies,Wet Market,other,0,kg,1,
Garlic,Kitchen Supplies,Wet Market,other,0,kg,2,
Ginger,Kitchen Supplies,Wet Market,other,0,kg,1,
Potato,Kitchen Supplies,Wet Market,other,0,kg,2,
Red Tomato,Kitchen Supplies,Wet Market,other,0,kg,1,
Lemon,Kitchen Supplies,Wet Market,other,0,kg,1,
Green Chili,Kitchen Supplies,Wet Market,other,0,kg,1,
Black Olives,Kitchen Supplies,Wet Market,other,0,can,2,
Mayonaise,Kitchen Supplies,Wet Market,other,0,jar,2,
Oyster Sauce (Mama Sita's),Kitchen Supplies,Wet Market,other,0,bottle,2,
Ketchup,Kitchen Supplies,Wet Market,other,0,bottle,2,
Hot Sauce,Kitchen Supplies,Wet Market,other,0,bottle,2,
Worcestershire Sauce,Kitchen Supplies,Wet Market,other,0,bottle,1,
All Purpose Flour,Kitchen Supplies,Wet Market,other,0,kg,3,
Cornstarch,Kitchen Supplies,Wet Market,other,0,pack,3,
Pepper Powder,Kitchen Supplies,Wet Market,other,0,pack,2,
Iodized Salt,Kitchen Supplies,Wet Market,other,0,pack,3,
Rock Salt,Kitchen Supplies,Wet Market,other,0,pack,2,
White Sugar,Kitchen Supplies,Wet Market,other,0,kg,3,
Brown Sugar,Kitchen Supplies,Wet Market,other,0,kg,2,
Knorr Cubes (Chicken),Kitchen Supplies,Wet Market,other,0,pack,3,
Knorr Cubes (Pork),Kitchen Supplies,Wet Market,other,0,pack,3,
Magic Sarap,Kitchen Supplies,Wet Market,other,0,pack,3,
Udon Noodles,Kitchen Supplies,Online,other,0,pack,5,
Ramen Noodles,Kitchen Supplies,Online,other,0,pack,5,
Soba Noodles,Kitchen Supplies,Online,other,0,pack,5,
Cheddar Cheese,Kitchen Supplies,Online,other,0,pack,2,
Peanut Sauce (Haidilao Sauce),Kitchen Supplies,Online,other,0,bottle,2,
Kikkoman Soy Sauce,Kitchen Supplies,Online,other,0,bottle,2,
Sake,Kitchen Supplies,Online,other,0,bottle,1,
Mirin,Kitchen Supplies,Online,other,0,bottle,1,
Gravy Powder,Kitchen Supplies,Online,other,0,pack,2,
Tonkotsu Sauce,Kitchen Supplies,Online,other,0,pack,2,
Pickles,Kitchen Supplies,Online,other,0,jar,2,
Shitake Mushroom,Kitchen Supplies,Online,other,0,pack,3,
Chili Oil (Rayu Oil),Kitchen Supplies,Online,other,0,bottle,2,
Benishoga (Red Pickled Ginger),Kitchen Supplies,Online,other,0,pack,2,
Hondashi,Kitchen Supplies,Online,other,0,pack,2,
Miso Soup Powder,Kitchen Supplies,Online,other,0,pack,2,
Curry Sauce Mix (Golden Curry),Kitchen Supplies,Online,other,0,pack,3,
Nori Seaweed,Kitchen Supplies,Online,other,0,pack,3,
Aonori Seaweed,Kitchen Supplies,Online,other,0,pack,2,
Bonito Flakes (Katsuobushi),Kitchen Supplies,Online,other,0,pack,2,
Kikurage (Mushroom Shred),Kitchen Supplies,Online,other,0,pack,2,
Sesame Seed Black,Kitchen Supplies,Online,other,0,pack,2,
Jalapeño,Kitchen Supplies,Online,other,0,kg,1,
Togarashi (Chili Powder),Kitchen Supplies,Online,other,0,pack,2,
Shredded Chili (Tantanmen),Kitchen Supplies,Online,other,0,pack,2,
Chili Flakes (Chili Gyudon),Kitchen Supplies,Online,other,0,pack,2,
Burger Bamboo Sticks,Kitchen Supplies,Online,supplies,0,pack,3,
Black Rubber Gloves,Kitchen Supplies,Online,supplies,0,pair,5,
BBQ Sticks,Kitchen Supplies,Online,supplies,0,pack,3,
Sugo Peanuts,Baking Items,Wet Market,other,0,bag,2,
Crushed Graham Cracker,Baking Items,Wet Market,other,0,pack,2,
Sesame Seed White,Baking Items,Wet Market,other,0,pack,2,
Powdered Gelatin White,Baking Items,Wet Market,other,0,pack,2,
Cooking Oil,Baking Items,Wet Market,other,0,liter,2,
All Purpose Cream,Baking Items,Wet Market,other,0,pack,3,
Canola Oil,Baking Items,Wet Market,other,0,liter,2,
Dari Creme Butter,Baking Items,Wet Market,other,0,pack,2,
Vinegar,Baking Items,Wet Market,other,0,bottle,2,
Cream Cheese,Baking Items,Wet Market,other,0,pack,2,
Classic Evaporated Milk (Small),Baking Items,Wet Market,milk,0,can,5,
